Address,Street,COMMON,x,y
2913,WATERVIEW AVE,tree of heaven,-8530372.096122548,4758633.349933945
4,UPLAND ROAD,tree of heaven,-8531100.25370563,4772181.742569442
2913,WATERVIEW AVE,tree of heaven,-8530614.454467548,4758719.494612455
2913,WATERVIEW AVE,tree of heaven,-8530372.254854184,4758631.444988027
2913,WATERVIEW AVE,tree of heaven,-8530498.090718089,4758755.768981402
2913,WATERVIEW AVE,tree of heaven,-8530541.191346172,4758729.4164716415
2913,WATERVIEW AVE,tree of heaven,-8530620.090075862,4758712.985788388
2913,WATERVIEW AVE,tree of heaven,-8530631.758167403,4758704.651465108
4,UPLAND ROAD,tree of heaven,-8531095.455903294,4772193.45467978
4,UPLAND ROAD,tree of heaven,-8531101.241533367,4772168.478111749
4,UPLAND ROAD,tree of heaven,-8531093.90378467,4772190.914701165
4,UPLAND ROAD,tree of heaven,-8531100.677037787,4772175.533689759
4,UPLAND ROAD,tree of heaven,-8531096.72589318,4772190.350257036
4,UPLAND ROAD,tree of heaven,-8531099.830449035,4772178.496905774
4,UPLAND ROAD,tree of heaven,-8531094.327065632,4772187.810262257
1600,DESOTO ROAD,tree of heaven,-8533626.269123226,4759921.051926981
2834,WASHINGTON BLVD,tree of heaven,-8533466.175180214,4759319.143532281
3301,WATERVIEW AVE,tree of heaven,-8529349.784903489,4758293.546730721
3301,WATERVIEW AVE,tree of heaven,-8529351.372294093,4758292.276658245
1600,DESOTO ROAD,tree of heaven,-8533424.699685505,4759806.9266536
3301,WATERVIEW AVE,tree of heaven,-8529425.596734043,4758317.967685438
3301,WATERVIEW AVE,tree of heaven,-8529331.581454452,4758337.343990757
1200,TOWSON ST,tree of heaven,-8526013.631469924,4760750.672587293
1200,TOWSON ST,tree of heaven,-8526006.567139164,4760747.576937343
1200,TOWSON ST,tree of heaven,-8526003.233338745,4760748.132614063
1802,DESOTO ROAD,tree of heaven,-8533256.763068639,4759721.440402573
2602,CARROLL ST,tree of heaven,-8532973.826597074,4759617.520933594
1800,DESOTO ROAD,tree of heaven,-8533303.432393577,4759715.534108754
2810,INDIANA ST,tree of heaven,-8530950.785861526,4759074.38261287
1605,SPENCE ST,tree of heaven,-8532998.78021509,4760495.285585681
2801,JOPLEA AVE,tree of heaven,-8529963.24353229,4757741.828567793
2761,WEGWORTH LANE,tree of heaven,-8531739.742719838,4758379.730069363
399,E PRATT ST,tree of heaven,-8528534.269967942,4762407.700807384
900,DRUID PARK LAKE DR,tree of heaven,-8533425.23442602,4768426.38483524
900,DRUID PARK LAKE DR,tree of heaven,-8533273.795877893,4768214.012711498
900,DRUID PARK LAKE DR,tree of heaven,-8533245.855881602,4768194.010268205
900,DRUID PARK LAKE DR,tree of heaven,-8533445.527941976,4768359.19841407
900,DRUID PARK LAKE DR,tree of heaven,-8533043.813495418,4768479.323860525
900,DRUID PARK LAKE DR,tree of heaven,-8533264.667756341,4768228.062199505
1926,ALICEANNA ST,tree of heaven,-8525863.400157599,4762401.671881838
900,DRUID PARK LAKE DR,tree of heaven,-8531609.114217993,4767926.249843292
900,DRUID PARK LAKE DR,tree of heaven,-8533094.21160859,4768845.135206963
900,DRUID PARK LAKE DR,tree of heaven,-8533014.006768998,4768969.724968429
424,S CAROLINE ST,tree of heaven,-8526736.6164706,4762564.2573109735
900,DRUID PARK LAKE DR,tree of heaven,-8531135.679317897,4768195.082721867
900,DRUID PARK LAKE DR,tree of heaven,-8530994.406033663,4767822.357307967
900,DRUID PARK LAKE DR,tree of heaven,-8530849.104889276,4767982.168179672
900,DRUID PARK LAKE DR,tree of heaven,-8531099.383028077,4767698.901051824
828,S BOND ST,tree of heaven,-8526601.02405008,4762091.608585414
900,DRUID PARK LAKE DR,tree of heaven,-8531181.535293795,4768150.433852134
