"ID","LST_Day_1km","QC_Day","Day_view_time","Day_view_angl","LST_Night_1km","QC_Night","Night_view_time","Night_view_angl","Emis_31","Emis_32","Clear_day_cov","Clear_night_cov","filename"
7,NA,2.03125,NA,NA,NA,2.03125,NA,NA,NA,NA,NA,NA,"2021161093507.hdf"
8,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021161093507.hdf"
9,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021161093507.hdf"
1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021162094807.hdf"
2,306.975,30.4782608695652,10.5,-40.7,NA,2.04347826086957,NA,NA,0.9831,0.9832,1.065425,NA,"2021162094807.hdf"
3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021162094807.hdf"
4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021162094807.hdf"
5,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021162094807.hdf"
6,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021162094807.hdf"
7,308.52,4.5,10.5,-40,NA,2.03125,NA,NA,0.976,0.978,0.0845,NA,"2021162094807.hdf"
8,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021162094807.hdf"
9,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021162094807.hdf"
1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021163090856.hdf"
2,NA,2.04347826086957,NA,NA,NA,2.04347826086957,NA,NA,NA,NA,NA,NA,"2021163090856.hdf"
3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021163090856.hdf"
4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021163090856.hdf"
5,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021163090856.hdf"
6,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021163090856.hdf"
7,NA,2.03125,NA,NA,NA,2.03125,NA,NA,NA,NA,NA,NA,"2021163090856.hdf"
8,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021163090856.hdf"
9,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021163090856.hdf"
1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021164090735.hdf"
2,NA,2.04347826086957,NA,NA,NA,2.04347826086957,NA,NA,NA,NA,NA,NA,"2021164090735.hdf"
3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021164090735.hdf"
4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021164090735.hdf"
5,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021164090735.hdf"
6,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021164090735.hdf"
7,NA,2.03125,NA,NA,NA,2.03125,NA,NA,NA,NA,NA,NA,"2021164090735.hdf"
8,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021164090735.hdf"
9,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021164090735.hdf"
1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021165091252.hdf"
2,NA,2.04347826086957,NA,NA,NA,2.04347826086957,NA,NA,NA,NA,NA,NA,"2021165091252.hdf"
3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021165091252.hdf"
4,NA,2,NA,NA,291.48,13.9189189189189,21.4,-54,0.978,0.982,NA,0.454571428571429,"2021165091252.hdf"
5,309.362222222222,52.7857142857143,11,11,NA,2,NA,NA,0.97,0.976,0.473833333333333,NA,"2021165091252.hdf"
6,301.98,9.02222222222222,11,11,NA,2,NA,NA,0.97,0.976,0.311125,NA,"2021165091252.hdf"
7,308.948571428571,19.3125,11,11,NA,2.03125,NA,NA,0.97,0.976,0.635714285714286,NA,"2021165091252.hdf"
8,308.79,37.1111111111111,11,11,NA,2,NA,NA,0.97,0.976,0.288375,NA,"2021165091252.hdf"
9,NA,2,NA,NA,291.48,6.725,21.4,-54,0.978,0.982,NA,0.532833333333333,"2021165091252.hdf"
1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021166092302.hdf"
2,NA,2.04347826086957,NA,NA,NA,2.04347826086957,NA,NA,NA,NA,NA,NA,"2021166092302.hdf"
3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021166092302.hdf"
4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021166092302.hdf"
5,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021166092302.hdf"
6,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021166092302.hdf"
7,NA,2.03125,NA,NA,NA,2.03125,NA,NA,NA,NA,NA,NA,"2021166092302.hdf"
8,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021166092302.hdf"
9,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021166092302.hdf"
1,306.703157894737,81,10.8,-12.3157894736842,NA,2,NA,NA,0.97021052631579,0.976105263157894,0.866078947368421,NA,"2021167084843.hdf"
2,306.232093023256,68.3666666666667,10.8,-11.8372093023256,NA,2.04347826086957,NA,NA,0.979581395348837,0.981302325581396,0.934488372093024,NA,"2021167084843.hdf"
3,308.974545454545,110.090909090909,10.8,-12,NA,2,NA,NA,0.970181818181818,0.976,0.907318181818182,NA,"2021167084843.hdf"
4,305.435675675676,99.1621621621622,10.8,-12,NA,2,NA,NA,0.971783783783783,0.977459459459459,0.96322972972973,NA,"2021167084843.hdf"
5,308.997142857143,81,10.8,-11.8571428571429,NA,2,NA,NA,0.97,0.976,0.994535714285714,NA,"2021167084843.hdf"
6,307.460888888889,90.2444444444444,10.8,-11.8222222222222,NA,2,NA,NA,0.970488888888888,0.976399999999999,1.01106666666667,NA,"2021167084843.hdf"
7,308.306896551724,74.625,10.8,-11.2758620689655,NA,2.03125,NA,NA,0.972,0.977034482758621,0.872913793103448,NA,"2021167084843.hdf"
8,310.746666666667,73,10.8,-12,NA,2,NA,NA,0.975111111111111,0.978666666666667,0.998388888888889,NA,"2021167084843.hdf"
9,304.890769230769,109.135135135135,10.8,-12.6153846153846,NA,2,NA,NA,0.971487179487179,0.977230769230769,0.813833333333333,NA,"2021167084843.hdf"
1,304.504210526316,67.5263157894737,11.5,52,NA,2,NA,NA,0.970631578947368,0.976210526315789,1.37971052631579,NA,"2021168091106.hdf"
2,303.653,49.2962962962963,11.5,52,292.443333333333,41.5217391304348,21.9,-15,0.978146341463414,0.978243902439025,1.5047125,0.631354166666667,"2021168091106.hdf"
3,305.863636363636,81,11.5,52,293.4,67,21.9,-15,0.970363636363636,0.976,0.999545454545455,0.5211,"2021168091106.hdf"
4,303.374594594594,67.4242424242424,11.5,52,293.3175,63.8378378378378,21.9,-15,0.971621621621621,0.977243243243243,1.82452702702703,0.5820625,"2021168091106.hdf"
5,306.997142857143,81,11.5,52,293.883333333333,63.2857142857143,21.9,-15,0.97,0.976,1.80210714285714,0.5305,"2021168091106.hdf"
6,304.311555555556,81,11.5,52,293.481052631579,62.3777777777778,21.9,-14.5263157894737,0.970533333333333,0.976488888888888,1.54464444444444,0.478394736842105,"2021168091106.hdf"
7,306.748275862069,72.8620689655172,11.5,52,294.406,42.71875,21.9,-15,0.972551724137931,0.976620689655172,1.0738275862069,0.4382,"2021168091106.hdf"
8,307.34,81,11.5,52,293.402857142857,68.7777777777778,21.9,-15,0.973555555555556,0.977111111111111,0.999777777777778,0.535357142857143,"2021168091106.hdf"
9,303.513,72.3513513513514,11.5,52,NA,2,NA,NA,0.9717,0.9772,1.59365,NA,"2021168091106.hdf"
1,308.133684210526,81,10.6,-33,NA,2,NA,NA,0.970421052631579,0.976210526315789,1.4575,NA,"2021169090909.hdf"
2,307.186363636364,66.8,10.6,-32.2954545454545,291.46,3.41304347826087,22.6,51,0.980090909090909,0.981727272727273,0.91025,0.547,"2021169090909.hdf"
3,310.416363636364,81,10.6,-33,NA,2,NA,NA,0.970181818181818,0.976,1.30031818181818,NA,"2021169090909.hdf"
4,307.085945945946,81,10.6,-32.8108108108108,NA,2,NA,NA,0.971567567567567,0.977405405405405,1.0137027027027,NA,"2021169090909.hdf"
5,310.844285714286,81,10.6,-32,NA,2,NA,NA,0.97,0.976,0.999071428571429,NA,"2021169090909.hdf"
6,308.210666666667,79.5116279069767,10.6,-32,NA,2,NA,NA,0.970488888888888,0.976444444444444,1.16237777777778,NA,"2021169090909.hdf"
