"daytime","policeDistrict","date","actual_date","year","doy","temp_K","callscount","temp_F","UTCI"
0,"Central","2022-01-28",2022027,2022,27,266.313333333333,0,19.6939999999994,269.722918192546
0,"Central","2022-01-31",2022030,2022,30,265.004444444444,0,17.3379999999992,266.097516377767
0,"Central","2022-02-02",2022032,2022,32,268.164444444444,0,23.0259999999992,272.212861378988
0,"Central","2022-02-06",2022036,2022,36,259.436,0,7.3148,266.867483774821
0,"Central","2022-02-07",2022037,2022,37,268.2,0,23.09,274.180145263672
0,"Central","2022-02-10",2022040,2022,40,271.735555555556,0,29.4540000000008,272.405742645264
0,"Central","2022-02-11",2022041,2022,41,273.831111111111,0,33.2259999999998,275.115782419841
0,"Central","2022-02-12",2022042,2022,42,274.991111111111,0,35.3139999999999,274.834403991699
0,"Central","2022-02-13",2022043,2022,43,278.386666666667,0,41.4260000000006,267.826511383057
0,"Central","2022-02-15",2022045,2022,45,269.282222222222,0,25.0379999999996,268.249951680501
0,"Central","2022-02-16",2022046,2022,46,267.506666666667,0,21.8420000000006,266.751183827718
0,"Central","2022-02-17",2022047,2022,47,270.422222222222,0,27.0899999999996,273.120909372966
0,"Central","2022-02-18",2022048,2022,48,274.135555555556,0,33.7740000000008,271.113138834635
0,"Central","2022-02-20",2022050,2022,50,271.488888888889,0,29.0100000000002,264.226787567139
0,"Central","2022-02-21",2022051,2022,51,268.975555555556,0,24.4860000000009,271.948740641276
0,"Central","2022-02-22",2022052,2022,52,272.166666666667,0,30.2300000000007,276.24356842041
0,"Central","2022-02-27",2022057,2022,57,273.906666666667,0,33.3620000000006,270.772371927897
0,"Central","2022-03-01",2022059,2022,59,276.006666666667,0,37.1420000000006,271.389995574951
0,"Central","2022-03-02",2022060,2022,60,274.08,0,33.674,277.357779184977
0,"Central","2022-03-03",2022061,2022,61,276.0125,0,37.1525,274.579397837321
0,"Central","2022-03-04",2022062,2022,62,279.437777777778,0,43.3180000000005,270.418769836426
0,"Central","2022-03-05",2022063,2022,63,274.464444444444,0,34.3659999999992,274.195112864176
0,"Central","2022-03-12",2022070,2022,70,277.4725,0,39.7805000000001,262.411087036133
0,"Central","2022-03-14",2022072,2022,72,267.846666666667,0,22.4540000000006,274.378421783447
0,"Central","2022-03-15",2022073,2022,73,272.271111111111,0,30.4179999999998,279.393235524495
0,"Central","2022-03-16",2022074,2022,74,278,0,40.73,283.766558329264
0,"Central","2022-03-17",2022075,2022,75,281.2,0,46.49,280.146606445312
0,"Central","2022-03-18",2022076,2022,76,282.855,0,49.4690000000001,285.686464945475
0,"Central","2022-03-19",2022077,2022,77,284.471111111111,0,52.3779999999998,284.064212799072
0,"Central","2022-03-21",2022079,2022,79,286.78,0,56.534,276.679021199544
0,"Central","2022-03-22",2022080,2022,80,278.531111111111,1,41.6859999999998,281.963680267334
0,"Central","2022-03-23",2022081,2022,81,282.82,0,49.406,273.549467722575
0,"Central","2022-03-26",2022084,2022,84,278.186666666667,0,41.0660000000007,273.566632588704
0,"Central","2022-03-28",2022086,2022,86,276.297777777778,0,37.6660000000004,257.05900255839
0,"Central","2022-03-29",2022087,2022,87,269.572,0,25.5596,261.490414937337
0,"Central","2022-03-30",2022088,2022,88,269.742222222222,0,25.8659999999996,272.390383402507
0,"Central","2022-03-31",2022089,2022,89,271.56,0,29.138,279.267068227132
0,"Central","2022-04-05",2022094,2022,94,277.602222222222,0,40.0139999999996,279.985378265381
0,"Central","2022-04-06",2022095,2022,95,266.38,0,19.814,279.088672637939
0,"Central","2022-04-09",2022098,2022,98,280.624444444444,0,45.4539999999993,279.035846710205
0,"Central","2022-04-10",2022099,2022,99,274.776,0,34.9268000000001,270.928340911865
0,"Central","2022-04-12",2022101,2022,101,277.205,0,39.299,285.919835408529
0,"Central","2022-04-14",2022103,2022,103,288.506666666667,0,59.6420000000006,289.906387329102
0,"Central","2022-04-16",2022105,2022,105,277.837777777778,0,40.4380000000004,283.331864674886
0,"Central","2022-04-17",2022106,2022,106,284.524,0,52.4732,279.214467366536
0,"Central","2022-04-18",2022107,2022,107,274.045714285714,1,33.6122857142852,270.439130147298
0,"Central","2022-04-19",2022108,2022,108,280.435555555556,0,45.1140000000008,268.139146169027
0,"Central","2022-04-20",2022109,2022,109,271.906666666667,0,29.7620000000006,276.73461151123
0,"Central","2022-04-22",2022111,2022,111,282.53,0,48.884,287.891775767008
0,"Central","2022-04-23",2022112,2022,112,281.702222222222,0,47.3939999999997,286.547879536947
0,"Central","2022-04-25",2022114,2022,114,286.793333333333,0,56.5579999999995,286.292724609375
0,"Central","2022-04-26",2022115,2022,115,286.22,0,55.5260000000001,288.999348958333
0,"Central","2022-04-29",2022118,2022,118,279.49,0,43.4120000000001,278.607889811198
0,"Central","2022-04-30",2022119,2022,119,280.995555555555,0,46.121999999999,283.20739364624
0,"Central","2022-05-01",2022120,2022,120,282.266666666667,0,48.4100000000006,283.285002390544
0,"Central","2022-05-02",2022121,2022,121,277.92,0,40.5860000000001,290.270682017008
0,"Central","2022-05-04",2022123,2022,123,289.437777777778,0,61.3180000000005,289.056989034017
